stub_id,particle_id,class,prob,top_feature_1,shap_1,top_feature_2,shap_2,top_feature_3,shap_3
3279,354,BaAl,0.52511674,log_pb_plus_sb,0.94323057,cu_zn_over_mass,0.20301898,ba_sb_over_non_pb_mass,0.16699846
1516,2554,BaAl,0.52485824,log_pb_plus_sb,4.657311,pb_sb_over_non_ba_mass,1.0686481,o,0.14545608
1494,3418,BaAl,0.5219719,log_pb_plus_sb,4.6651564,pb_sb_over_non_ba_mass,0.9331464,pb_ba_over_non_sb_mass,0.15613241
3032,427,BaAl,0.52010345,log_pb_plus_sb,1.2217426,s,0.33699363,ca,0.18874344
680,1255,BaCaSi,0.5193148,log_pb_plus_sb,2.177985,pb_sb_over_non_ba_mass,0.7130481,k,0.3628074
104,814,BaAl,0.5159554,log_pb_plus_sb,1.2356912,s,0.33797178,cu,0.21391009
621,1072,BaAl,0.51588744,log_pb_plus_sb,1.0336572,ti_zn_over_mass,0.13240175,gsr_over_confounders,0.12860633
3209,147,BaAl,0.51517403,log_pb_plus_sb,1.2468102,s,0.21307407,o,0.16401708
1516,3442,BaAl,0.5128469,log_pb_plus_sb,3.974118,pb_sb_over_non_ba_mass,0.84551704,pb,0.15318944
3011,1836,BaAl,0.50287116,log_pb_plus_sb,4.011004,pb_sb_over_non_ba_mass,0.87408566,pb,0.190033
